Maintainer username,Maintainer name,Total dependencies maintained,Goal progress,Goal description,Total sponsors,Total organization sponsors,Sponsorship amount in USD
ljharb,Jordan Harband,18,,,83,22,
sindresorhus,Sindre Sorhus,15,,,207,40,
isaacs,,14,,,23,11,
ai,Andrey Sitnik,9,,,16,5,
jonschlinkert,Jon Schlinkert,8,25,100 monthly sponsors,28,13,
Qix-,Josh Junon,5,,,15,7,
doowb,Brian Woodward,4,,,7,6,
privatenumber,Hiroki Osame,4,30,"$1,000 per month",36,10,
jaredhanson,Jared Hanson,4,,,11,4,
mathiasbynens,Mathias Bynens,3,2,420 monthly sponsors,10,7,
lukeed,Luke Edwards,3,,,15,6,
mcollina,Matteo Collina,3,,,23,7,
feross,Feross Aboukhadijeh,3,20,45 monthly sponsors,10,6,
drizzle-team,Drizzle Team,2,98,100 monthly sponsors,100,16,
vitejs,Vite,2,,,53,17,
brianc,Brian C,2,,,22,11,
react-hook-form,React Hook Form,2,,,8,4,
jorisre,Joris,2,20,5 monthly sponsors,2,2,
bluebill1049,Bill,2,22,50 monthly sponsors,13,6,
tj,TJ,2,,,6,0,
paulmillr,Paul Miller,2,57,42 monthly sponsors,24,7,
pacocoursey,paco,2,,,2,1,
tapjs,TAP in JavaScript,2,,,2,2,
juliangruber,Julian Gruber,2,,,5,3,
lpinca,Luigi Pinca,1,,,7,5,
babel,Babel,1,12,"$12,000 per month",74,20,
gpbl,Giampaolo Bellavite,1,80,5 monthly sponsors,4,2,
kossnocorp,Sasha Koss,1,,,11,8,
davidjerleke,David Jerleke,1,,,1,1,
kotarella1110,Kotaro Sugawara,1,,,5,3,
floating-ui,Floating UI,1,0,$400 per month,1,1,
FezVrasta,Federico Zivolo,1,40,10 monthly sponsors,4,3,
voxpelli,Pelle Wessman,1,50,10 monthly sponsors,5,3,
abetomo,Abe Tomoaki,1,60,10 monthly sponsors,6,5,
shadowspawn,John Gee,1,,,4,3,
kamijin-fanta,kamijin_fanta,1,,,2,2,
colinhacks,Colin McDonnell,1,78,100 monthly sponsors,80,36,
eemeli,Eemeli Aro,1,,,5,3,
dcastil,Dany Castillo,1,,,7,3,
molefrog,Alexey Taktarov,1,0,$9 per month,0,0,
danez,Daniel Tschinder,1,,,4,2,
TkDodo,Dominik Dorfmeister,1,70,64 monthly sponsors,46,8,
tannerlinsley,Tanner Linsley,1,33,500 monthly sponsors,170,45,
bvaughn,Brian Vaughn,1,36,25 monthly sponsors,9,5,
egoist,EGOIST,1,7,"$4,000 per month",37,6,
broofa,Robert Kieffer,1,,,7,3,
blakeembrey,Blake Embrey,1,,,12,9,
antonk52,Anton Kastritskii,1,,,2,2,
emilkowalski,Emil Kowalski,1,,,3,1,
gristlabs,Grist Labs,1,,,13,2,
gulpjs,gulp,1,60,20 monthly sponsors,12,3,
yocontra,contra,1,,,3,3,
phated,Blaine Bublitz,1,30,10 monthly sponsors,3,2,
jamestalmage,James Talmage,1,,,0,0,
guilhermerodz,Guilherme Rodz,1,,,3,2,
Kilian,Kilian Valkhof,1,,,3,3,
Wombosvideo,Luca,1,,,0,0,
whitequark,Catherine,1,,,1,0,
thlorenz,Thorsten Lorenz,1,3,60 monthly sponsors,2,2,
LinusU,Linus Unnebäck,1,,,4,3,
7rulnik,Valentin Semirulnik,1,2,$100 per month,2,2,
rawify,raw,1,15,20 monthly sponsors,3,2,
wesleytodd,Wes Todd,1,,,1,1,
indutny,Fedor Indutny,1,,,9,5,
